Dataset,Algorithm,Cutoff,Seed,Time,Sol.Quality,Full Tour
Cincinnati.tsp,LS,5.0,48.0,1.1752,277952.0,Yes
Cincinnati.tsp,LS,5.0,49.0,1.1582,277952.0,Yes
Cincinnati.tsp,LS,5.0,50.0,1.1674,277952.0,Yes
Cincinnati.tsp,LS,5.0,51.0,1.1274,277952.0,Yes
Cincinnati.tsp,LS,10.0,42.0,1.1426,277952.0,Yes
Cincinnati.tsp,LS,10.0,43.0,1.1738,277952.0,Yes
Cincinnati.tsp,LS,10.0,44.0,1.1376,277952.0,Yes
Cincinnati.tsp,LS,10.0,45.0,1.1482,280243.0,Yes
Cincinnati.tsp,LS,10.0,46.0,1.2225,277952.0,Yes
Cincinnati.tsp,LS,10.0,47.0,1.302,277952.0,Yes
Cincinnati.tsp,LS,10.0,48.0,1.1588,277952.0,Yes
Cincinnati.tsp,LS,10.0,49.0,1.1249,277952.0,Yes
Cincinnati.tsp,LS,10.0,50.0,1.1789,277952.0,Yes
Cincinnati.tsp,LS,10.0,51.0,1.1539,277952.0,Yes
Cincinnati.tsp,LS,15.0,42.0,1.1287,277952.0,Yes
Cincinnati.tsp,LS,15.0,43.0,1.1761,277952.0,Yes
Cincinnati.tsp,LS,15.0,44.0,1.137,277952.0,Yes
Cincinnati.tsp,LS,15.0,45.0,1.1796,280243.0,Yes
Cincinnati.tsp,LS,15.0,46.0,1.1142,277952.0,Yes
Cincinnati.tsp,LS,15.0,47.0,1.1318,277952.0,Yes
Cincinnati.tsp,LS,15.0,48.0,1.1792,277952.0,Yes
Cincinnati.tsp,LS,15.0,49.0,1.1955,277952.0,Yes
Cincinnati.tsp,LS,15.0,50.0,1.3158,277952.0,Yes
Cincinnati.tsp,LS,15.0,51.0,1.1682,277952.0,Yes
Cincinnati.tsp,LS,20.0,42.0,1.1405,277952.0,Yes
Cincinnati.tsp,LS,20.0,43.0,1.1304,277952.0,Yes
Cincinnati.tsp,LS,20.0,44.0,1.1609,277952.0,Yes
Cincinnati.tsp,LS,20.0,45.0,1.1683,280243.0,Yes
Cincinnati.tsp,LS,20.0,46.0,1.1339,277952.0,Yes
Cincinnati.tsp,LS,20.0,47.0,1.1575,277952.0,Yes
Cincinnati.tsp,LS,20.0,48.0,1.138,277952.0,Yes
Cincinnati.tsp,LS,20.0,49.0,1.1438,277952.0,Yes
Cincinnati.tsp,LS,20.0,50.0,1.1481,277952.0,Yes
Cincinnati.tsp,LS,20.0,51.0,1.1307,277952.0,Yes
Cincinnati.tsp,LS,25.0,42.0,1.1636,277952.0,Yes
Cincinnati.tsp,LS,25.0,43.0,1.284,277952.0,Yes
Cincinnati.tsp,LS,25.0,44.0,1.2158,277952.0,Yes
Cincinnati.tsp,LS,25.0,45.0,1.1777,280243.0,Yes
Cincinnati.tsp,LS,25.0,46.0,1.1557,277952.0,Yes
Cincinnati.tsp,LS,25.0,47.0,1.1599,277952.0,Yes
Cincinnati.tsp,LS,25.0,48.0,1.1671,277952.0,Yes
Cincinnati.tsp,LS,25.0,49.0,1.1325,277952.0,Yes
Cincinnati.tsp,LS,25.0,50.0,1.144,277952.0,Yes
Cincinnati.tsp,LS,25.0,51.0,1.1307,277952.0,Yes
Cincinnati.tsp,LS,50.0,42.0,1.1975,277952.0,Yes
Cincinnati.tsp,LS,50.0,43.0,1.1793,277952.0,Yes
Cincinnati.tsp,LS,50.0,44.0,1.1611,277952.0,Yes
Cincinnati.tsp,LS,50.0,45.0,1.1695,280243.0,Yes
Cincinnati.tsp,LS,50.0,46.0,1.2781,277952.0,Yes
Cincinnati.tsp,LS,50.0,47.0,1.2752,277952.0,Yes
Cincinnati.tsp,LS,50.0,48.0,1.1608,277952.0,Yes
Cincinnati.tsp,LS,50.0,49.0,1.1369,277952.0,Yes
Cincinnati.tsp,LS,50.0,50.0,1.1522,277952.0,Yes
Cincinnati.tsp,LS,50.0,51.0,1.1309,277952.0,Yes
Cincinnati.tsp,LS,75.0,42.0,1.2001,277952.0,Yes
Cincinnati.tsp,LS,75.0,43.0,1.1786,277952.0,Yes
Cincinnati.tsp,LS,75.0,44.0,1.1277,277952.0,Yes
Cincinnati.tsp,LS,75.0,45.0,1.1946,280243.0,Yes
Cincinnati.tsp,LS,75.0,46.0,1.136,277952.0,Yes
Cincinnati.tsp,LS,75.0,47.0,1.1398,277952.0,Yes
Cincinnati.tsp,LS,75.0,48.0,1.1669,277952.0,Yes
Cincinnati.tsp,LS,75.0,49.0,1.2763,277952.0,Yes
Cincinnati.tsp,LS,75.0,50.0,1.4506,277952.0,Yes
Cincinnati.tsp,LS,75.0,51.0,1.138,277952.0,Yes
Cincinnati.tsp,LS,100.0,42.0,1.1779,277952.0,Yes
Cincinnati.tsp,LS,100.0,43.0,1.2433,277952.0,Yes
Cincinnati.tsp,LS,100.0,44.0,1.5536,277952.0,Yes
Cincinnati.tsp,LS,100.0,45.0,1.1487,280243.0,Yes
Cincinnati.tsp,LS,100.0,46.0,1.1963,277952.0,Yes
Cincinnati.tsp,LS,100.0,47.0,1.231,277952.0,Yes
Cincinnati.tsp,LS,100.0,48.0,1.1614,277952.0,Yes
Cincinnati.tsp,LS,100.0,49.0,1.1871,277952.0,Yes
Cincinnati.tsp,LS,100.0,50.0,1.1416,277952.0,Yes
