ATQH_w,DVPQH_w,SALEQH_w,SEQQH_w,IBQH_w,NIQH_w,XIDOQH_w,IBADJQH_w,IBCOMQH_w,ICAPTQH_w,TEQQH_w,PSTKRQH_w,PPENTQH_w,CEQQH_w,PSTKQH_w,DLTTQH_w,PIQH_w,TXTQH_w,NOPIQH_w,AOQH_w,LTQH_w,DOQH_w,LOQH_w,CHEQH_w,ACOQH_w,DVQH_w,LCOQH_w,APQH_w,intercept,month_end
30791621.2196523,-44906972621.20441,2102989.9033409012,-2201864048.908843,6834636680.679221,-494968106.30914646,-13910702624.754553,-41688897670.06652,34241651289.724895,-546778639.4596013,73.01296138737104,28082511644.08432,-120981156.6484049,2823257198.1710415,2022848994.2184706,489435620.98955864,1922146653.1524715,-934263456.1803272,-1257530216.8390913,-174859154.85864896,249433563.8507183,115302117666.42387,117812578.75052018,-86004909.2162318,-1910009275.3396413,3.959881916042079e-06,-669347365.487164,-303948731.213332,1315889908.0773535,1991-03-28
224836029.97528297,234803684.5753875,-26271961.291489255,1255912667.3527248,-847002884.9625682,-1606102317.328111,7711862924.449052,20006572071.277992,-17800242840.940357,-662880275.1630275,-9958.328909980302,15183293144.947584,-76269131.39129624,-764633184.3329146,-854123993.9404014,636989072.0671966,657580357.9799237,-689466157.5631686,4672130484.927217,-22142750.31418401,-94843667.373442,26710024972.32666,-248902026.73006815,-98722296.16090983,-565200764.1820319,-1.9427627753684475e-06,-349292035.83928543,-105636185.41423202,1137535597.0803704,1991-04-30
243384814.18501502,2681683238.1281238,-48368150.93703626,-3244039899.197559,-7186946318.605677,134756766.5714988,1890922932.7564166,9266630278.512291,-2637651235.6468415,-562914432.8706187,-11419.352623263392,12625947595.264164,-80665719.73136985,3630131929.2812853,3564966258.915834,560231286.2794193,769126857.0995909,-759066800.5368619,4572667556.904502,-20707227.564741053,-120200601.65011866,14687275744.732008,-139721545.7684276,-129079839.41218483,-490943777.13475317,-8.225034892077913e-07,-385578958.27403826,-53854509.68037968,1122689559.4311347,1991-05-31
203180121.08051553,12967521677.125217,-47250898.98053746,-2134901333.210726,-5054793401.988765,-2012081816.9533527,7438105034.606599,3382028795.8813143,3588099375.73074,-776732299.2985317,-4370.931697675642,15842038175.581297,-91966642.69638638,2778868655.183524,2881473005.676182,673807793.0212696,573666178.9189066,-1618143880.9876683,4315430104.217207,-42656206.35960849,24598760.051670406,15219489469.774122,-336106767.03768253,-116866172.23660506,-701828332.0981674,-2.135826385602154e-06,-432768279.14243823,-153844912.41865954,1079508339.1178608,1991-06-28
570246373.6580806,72175180080.7767,-62045899.38162618,-5906351575.031964,-22807806556.47273,4480526544.9686,-18294779040.614826,12119229260.40499,13977536603.087675,-337600812.5776891,23501.003252336297,6860912667.047234,-155218420.46682924,5752979662.075014,5357711111.212113,229690572.67545146,-7483668497.005443,9415233088.560488,-3194318638.8155465,-177836370.14959046,-246535631.50958875,25995002912.318596,-187271027.8819645,-21669889.90960914,-464531090.0064022,9.683021895247493e-07,-578021310.2839427,-327422241.4881311,1182728058.8161533,1991-07-31
382197822.7594587,18867789615.443844,-26685987.257152144,-3704924627.5679502,-8701733345.652035,3701627426.3024025,-22430225128.495358,2338471445.700893,12613611198.544828,-1182448959.2618477,-471.73180972831125,2448705859.5761867,-154817893.70302567,4560469840.690049,7422026927.738938,1117715493.4557984,-9616965460.622807,10507242407.258696,-3198020160.02744,-125679409.13274965,-64071687.72530051,36469256636.026535,-87026677.80840746,68769517.26313439,-569491514.5131384,3.4987540495970603e-06,-822868119.3369249,-379226543.0399149,1271896414.5640202,1991-08-30
115345524.54794665,27002783211.5664,-47605345.941955686,-1088218419.7803597,-12089477095.413788,-2009553094.023175,-3398011555.3332105,-34747006433.06161,50162939147.301216,-1312690574.9962747,313.7986511085289,13508320825.254873,-110567432.49396883,2388599218.699191,4601508662.668524,1347538413.3961434,-1064050725.1956359,2954726195.136717,-1608110049.2356887,-110381910.6203783,84675601.59120815,5777783592.870435,50411724.21475935,8448657.266686698,-657020822.4437331,-3.1623524504014914e-07,-616953722.7736822,-328007905.2299777,1333584856.8972023,1991-09-30
166788359.91968343,2363089705.509508,-11015246.366528332,-1889159414.5011804,-7537971973.736048,3697409402.7724524,-28013084144.211643,25497785215.386524,-19586349768.733665,-1074008245.9838564,1565.0177511611264,13468750862.787884,-102374280.27687754,2887031009.0728583,5048322083.098112,1013275159.2578192,-1934042145.0478292,4568559751.602769,1777194883.7499948,-26980703.029857337,46716742.89433047,28054141446.34032,-271034046.58230984,-204155780.1272686,-1094454338.8799381,1.3865815915332081e-06,-505086928.4673736,-266126576.82592148,1162708959.2043586,1991-10-31
61768727.02411656,1773414331.8029437,-34709806.68937322,-3879212457.542506,-1082181237.9170814,2267454009.3691397,-14531180337.67941,16486382219.504898,-14830995273.841724,-346439156.44877225,284.02587506907327,1078886925.234583,-103484362.64067075,4271789677.539281,5273142121.192027,282994548.1293959,-2858759398.940662,5561231515.803766,2048890969.413928,-64005743.354166545,148857009.3775868,1.174670856249468,-287671401.73821115,-136114526.4816754,-592207442.7115712,-6.808628688924312e-29,-583234803.157187,-248329475.67783666,1213701949.2517054,1991-11-29
103237017.68844965,-30008399672.351364,-36848349.66939006,-2351476604.024863,6416126740.948287,1347421470.4174922,-24099627499.046955,-3723081644.7470255,-2982442034.7608547,-663120447.3015708,-392.80539545058537,22776626155.41012,-87360991.18565786,3024248193.9128137,2482600472.858367,708982746.9352285,-828481823.2851782,2157776314.0938487,-3234214879.872516,-39774636.2854473,34933456.98445865,35544921165.07313,50234979.43029423,-98308085.07735771,-643170470.0978509,1.184614025952296e-06,-464541287.0309556,-167624723.31619015,1224297272.1623766,1991-12-31
184183891.15716705,-3630028987.3718715,-56077693.41007767,-1773450031.5034409,-8345593660.8303585,-3063060234.6057367,-8765060687.656141,3319892350.222625,8659829430.245455,-390259233.9807374,72.04362657697227,7520578389.665387,-118661805.07006559,2094157936.0431077,3531357555.527772,500281846.86959195,-245174908.26854682,2565640439.962078,-1562001512.5036137,-36382852.16892695,-64681971.349965796,43214919483.60068,-2426593.6561357565,-117971856.57407291,-475268458.5486333,-2.4616358038451753e-07,-484171300.1580343,-133681538.94412804,1132016886.0271382,1992-01-31
193793925.51289874,-15711871075.713573,-73274602.88016492,-908546356.3580323,1424095090.2420952,-3325791087.785132,-4412091772.238354,-9340681175.731503,11344326802.266205,-429803688.4467833,750.089479929444,10555469540.36505,-124591143.94639286,1260247061.5153556,1126979316.2501826,432506405.9226109,208517185.65751138,1465689466.3921907,-2415291642.2516336,-62115739.980184935,-41412898.77961742,17661411772.130646,-67182892.12585925,-86060913.10124768,-359687054.94030684,-1.6161208142588e-06,-320745931.77623904,-130579697.61262123,1024896796.8311672,1992-02-28
212983221.41888458,-3881677348.22506,-3624490.7336365962,-1895045625.866718,10844821668.281183,-3479801329.9411693,-1394419679.8629751,-552826130.5404091,-6487268933.504831,-855929514.3407305,1256.2696783766032,10945671932.117556,-40071063.06044277,2605789889.9205155,516489650.3746506,773045988.7483801,180237188.23144808,-385458716.24651134,-1120454640.6583173,29211319.273115505,-27835391.57588295,50954721912.90027,-339490506.5754179,-13481445.37116488,-1010208363.2491715,1.5071383148600207e-06,-395399447.27358824,-155180493.15458533,1112342713.3197136,1992-03-31
338458027.1676246,-18888462290.760803,-26232576.447758283,-731493628.8358247,7980449363.539474,-887088515.3367301,1242031725.3496773,-5699934926.61565,-1607223410.0156116,-803387661.6419257,-531.7863760522674,12931764711.846981,-70506764.73383033,1255807543.324495,404358374.2511876,804623303.6692363,470775989.3155727,186416790.5616337,-854960914.693073,9514045.373970171,-193056944.61509916,39758808457.502144,-381527261.2574034,5100256.362482752,-544143288.1623102,4.804311463903932e-07,-374977909.5783625,-169042808.79671168,1079680890.1204562,1992-04-30
322733027.37748486,-2389803248.4853864,-12116326.847935112,-486849181.48111165,5846142169.291774,-534506551.2283341,-7421986045.440389,-3506463917.987728,-567232881.2569695,-817901857.1658618,73.58117117403428,8516964628.564469,-98553117.5009204,1063256126.1505595,756727417.5506524,804790303.3807204,-888409767.264341,1214332015.7083764,-1456948432.953899,6453378.71337661,-171432543.89877984,27464794185.717697,-257999866.77932632,-7970913.903052134,-624528131.8138595,1.537900870806461e-07,-386685629.98109704,-173852942.76634583,1185837425.9967296,1992-05-29
222923909.78968942,-5309230500.826144,-23001205.24583656,-968159335.630896,4371244899.995443,2034045490.6643102,-11229405918.052551,1252066005.9522314,-6012231959.868429,-429550817.8286401,-507.1323256198429,11818296643.50057,-105733671.64025813,1246320826.7773707,925308522.3710757,417647405.00348103,-1123869982.9063213,1238352631.637358,-1629531192.024806,-13254920.064529682,-41847365.4861394,35314308833.247345,-272754431.9686988,-16442433.880865302,-378920257.67549986,1.0744569117915039e-07,-452042496.4935708,-176009088.28926995,1131089547.084753,1992-06-30
239808721.15429634,-25068994117.33185,-37615903.2215091,-3660165432.6138573,22250368061.571247,4262502954.8722806,-4481428233.221578,-8385534817.503285,-14991293367.743763,-245444323.63239363,-649.741453625981,16792115184.799732,-133846475.17948702,3776513722.243539,3282793484.40794,228043034.72040325,-2873351039.4130363,2893228373.578335,-92035898.60252425,-14882745.921090847,-74584780.09329435,32369706739.564125,-229602643.68511966,-122320160.93187144,-282835.5644765136,1.242414104138611e-06,-455525309.0958224,-236617515.59272343,1264359288.231621,1992-07-31
198867873.09197217,-43810730817.080765,-18989759.18911535,-3807604889.011938,36095502316.4351,3531484765.065633,-7333695835.839889,-9783835196.664665,-24933382178.9645,-441232965.2630998,-378.2764307072841,15677513941.236036,-86570092.34401512,4154954936.2779174,3148156322.361272,420181168.06114924,-4885385377.793498,6707026363.171048,874889781.527843,-48466969.80627039,-50570243.875094935,33764368401.999702,-251880785.9388939,-108388736.99955268,-324085235.72707236,4.8864141842581105e-06,-450362977.2189914,-266690274.0818004,1326002305.3330333,1992-08-31
120704763.68704927,10804252270.48152,-21241551.778257724,-1847178089.4778357,-8852413532.11233,2342231469.2887106,962590495.0768872,6919473870.846441,2272515053.8074355,68455255.28166099,389.14127516793377,9620479524.569876,-120920092.13858697,1712142426.85723,2136495014.4852543,-22677542.515164405,-2394250815.430507,5468354712.784489,576947256.0107448,-47330506.04725783,3577372.4823121014,-2.2400715566905505,-219133163.96605173,-37737166.36859038,256374094.40525144,0.0,-556993711.0765886,-135993701.62670296,1394320696.6654682,1992-09-30
70125069.11960752,-10887381998.941,-32994878.095329177,-1220617150.7207425,-4116643257.5587206,2196132994.9911084,-5240682887.970247,4982138606.276033,-977091670.3274686,-146376120.0589516,141.7551333641135,15544931539.819822,-75940639.07306542,1343764425.55282,-793584853.0610368,192759037.32054666,-1636040862.8161278,3390406488.6145673,1034782988.2330039,-4343020.6909766365,26800910.18409412,0.0794782798915305,-223906743.31807876,-56790436.8023611,346092273.80034596,0.0,-455942380.6341309,-144977542.66979286,1437284068.523742,1992-10-30
209212815.2223184,-2264098857.808021,-28862392.228350732,-2029550287.198801,-3607111960.84592,1522520747.672503,172719754.36006573,6860498581.234158,-1197880592.8349235,-255536244.33828133,-672.4103466615765,7074496245.972232,-129827715.43309635,2136644964.2412565,382635574.59508866,295688988.7795871,-3200313419.2105694,4597532314.119263,556782134.0393734,-61725549.451910995,-79967277.8370029,0.2461924393068711,-99387602.94308278,-43195081.521943726,494003539.7882917,0.0,-510753431.66138315,-119536538.08799645,1320816687.0810926,1992-11-30
277987925.0995896,-30709196891.369774,-57238506.13840044,-1516209837.1940835,15899073550.824955,-2565357960.997583,5361577690.453075,-5114386060.295801,-4770692427.639777,-495155868.9517064,71.47959741383731,11464721862.578297,-140429332.459991,1820475618.418167,3095289902.8150034,564421338.5095143,-3231353460.6298885,5121704648.473473,837930023.9757167,-47008715.97878188,-159369269.048224,0.13781911453171475,-130090801.24268682,-54110294.580891535,-62414748.09004731,0.0,-383158458.0362625,-92505939.89362445,1264360423.1400676,1992-12-31
149274404.5696416,-29374549275.463455,-79007289.16410652,-1321491376.3654616,20285977317.65615,-3191154611.8785963,6237466305.174009,-7695124767.295956,-6347842413.812422,-417636238.4434906,321.0962610251524,14174420228.495901,-137351545.257525,1677652191.0363781,2103337544.7049093,462103365.2826044,-2823639119.115513,4601291785.775368,93826211.18925065,-70695156.31730893,-20521903.624247212,-0.9011457854116343,-127944819.32353231,-49270571.36840692,40245518.43663781,0.0,-329663971.949257,-51943887.931050695,1250270508.9532974,1993-01-29
199473145.17567062,-43046376235.98977,-85733616.6349999,-2817968830.5294857,21385471992.93307,-1768343136.9163978,-7097584808.905705,-10322735006.27785,-4812587026.965987,-419999086.73816854,430.21493266901734,14626407569.38671,-134381926.18815523,3163045554.2789135,3687519121.063328,504773779.2041546,-4544385036.2849865,6528194893.319815,343176728.69424367,-60621878.58230422,-109626072.60810949,-0.028680276373211314,-51839229.71580649,-72585238.95586246,-119311819.57948796,0.0,-326521037.02399874,-46866450.89709751,1266238388.6305585,1993-02-26
386424953.77758723,-63771358582.04364,-40639484.19688206,-2706232949.292596,10764298460.17746,-3586874817.848442,4500909736.698324,-1896882152.7693107,-2184892366.720416,-93245867.94343646,-63.49579899880527,16316686590.393879,-94164089.81213942,2496882158.2021484,3322804543.9964056,141012478.2008015,-3076568118.634806,3891628350.018611,-27189883.370483067,-40908105.3839732,-345352275.64072365,-0.19829991679112258,66659658.16615655,-67749833.77365665,-66044082.39320021,0.0,-225459035.70324397,9342363.28194457,1197295927.0858245,1993-03-31
373585545.4658586,-73487537999.50711,-9896740.16854792,-3179787234.1583405,9662443002.05303,-3356241993.3460727,4285512066.09154,-6464268812.556457,3659594476.0585504,-94467526.0698652,2981.340148538295,17993763937.342567,-84281491.53481632,2974453985.4828815,2922978313.749935,126945337.14588836,-3602989489.126113,4148336689.511012,138308955.50964245,-5862072.363174695,-332195755.4519061,1.4669522980744922,74711665.38079299,-57226312.30489059,-9725411.79625314,1.023863984738685e-27,-261686821.6149455,-50146020.16030011,1173866995.5021262,1993-04-30
255625714.15929446,-37076069987.36497,-21620079.107814576,-1387535994.154478,-7704541931.009061,-2760797804.7853284,2620269905.927652,1656186382.0178592,10495743459.608326,-242662943.68116236,-229.10922292376935,19864308109.93945,-109101468.61915933,1458027531.077771,1732489929.1282117,252801832.54648715,-1647168420.2493675,2045626442.1277883,-1028830448.292306,-38247726.65572156,-146727867.76567683,-0.33081323286675596,57455655.65676467,-30805411.7946387,-56808870.88918824,0.0,-292363468.13775915,-156388459.8389508,1106645748.830884,1993-05-28
173558040.330018,-76187760373.11604,-28616021.93617225,-1715007277.9732804,13350283701.461308,-3277879375.8144155,4764102952.319658,-5919460889.713582,-3354285236.994135,-15170101.940018566,-472.7518125213075,14959457791.712624,-89257417.87029307,1634254250.471681,1629913548.3631134,53677057.93940998,-734685293.2697663,1262845967.5266142,-316132538.3597218,-31500796.815191295,-108866103.57342243,-0.3342162014781548,65091421.69772513,-22683838.556674223,-248266391.63395512,0.0,-213872301.76471412,-54454098.5059875,1257533704.0983474,1993-06-30
