month_end,n_obs,r2,median_mispricing,mad_mispricing,coef_dispersion
1998-08-31,370,-396.61772637066537,-0.9384834186948934,0.09283421132061959,18394766822.53012
1998-09-30,376,-195.5373527101838,-0.9448521599041864,0.08205158625368947,8131532296.419
1998-10-30,382,-315.4702037450627,-0.9466635531506334,0.07159280550989716,8603886347.09728
1998-11-30,383,-239.20116880493512,-0.9445052895927245,0.07267949698808007,17560067823.466377
1998-12-31,379,-642.0218952547247,-0.9687901179995906,0.06938806895030214,79988801053.28685
1999-01-29,382,-2327.9156768420467,-0.9703259643188435,0.05055651287927021,98157451548.83684
1999-02-26,370,-449.21785338785133,-0.9512973271181315,0.07674902473184797,25277057070.916355
1999-03-31,365,-72.74242297743109,-0.9547834597144335,0.07726053860965465,12708287036.756718
1999-04-30,373,-114.93573548677483,-0.9572988903922608,0.06681915509402381,11892590723.144573
1999-05-28,375,-74.93522276686605,-0.9449648241967352,0.07685721344841068,10666575386.731277
1999-06-30,377,-92.18583294781223,-0.9550542655258872,0.07653411490350337,11141494720.76745
1999-07-30,376,-50.52940575647701,-0.9621134463155059,0.08082240427864357,14727651315.406101
1999-08-31,365,-72.92095845938589,-0.947537692933653,0.0669898717228069,12525271788.806734
1999-09-30,352,-246.04234768599466,-0.9475394437029272,0.060495903816812246,14889808642.502132
1999-10-29,352,-174.36456897863795,-0.9580400934290072,0.059890805330182095,10677130610.086151
1999-11-30,350,-320.8839672007667,-0.9605173210114202,0.054887465132112956,9219199222.520039
1999-12-31,355,-50.034222598143145,-0.9602846503406631,0.05284388778266613,13957123589.514332
2000-01-31,363,-644.8552204643594,-0.9632831672413038,0.049200186144535696,19269240203.459038
2000-02-29,366,-233.04872903766136,-0.9592648082138562,0.05843398787621684,14950655207.069534
2000-03-31,368,-172.54758525873686,-0.9512990315844274,0.060010998606182864,11550562187.308073
2000-04-28,344,-261.39038343212485,-0.9585651004275761,0.05361266466225412,10687749414.291431
2000-05-31,335,-91.20151537400262,-0.9582256149845518,0.06169802845667549,15274714997.819094
2000-06-30,336,-214.01801339946076,-0.9605149856406039,0.06357041209518349,15279415672.369944
2000-07-31,338,-223.04045000753382,-0.9650205715995075,0.06558956291363571,21568067622.814846
2000-08-31,337,-496.19908856309485,-0.9623784032861948,0.06034542539507637,18875644782.61963
2000-09-29,332,-541.973207934115,-0.9514238952220644,0.061783856334573284,22107396531.649555
2000-10-31,321,-67.59880323378754,-0.9631213721886372,0.054506163869720736,73704010378.57292
2000-11-30,304,-110.16906799504225,-0.962444146756602,0.06576157517775238,58830156770.22466
2000-12-29,299,-13399.542055615902,-0.9654923821483669,0.05467723893218113,38748979371.9049
