industry,year,beta_mean,beta_std,N,window
Construction,2003,1.1114679038491921,0.47237361922278903,10,24m
Construction,2004,1.5452766562956293,1.0527775752140087,9,24m
Construction,2005,1.871408901516815,0.7334860364999228,10,24m
Construction,2006,1.703280124231783,1.6664379429611431,10,24m
Construction,2007,1.9330990097537453,1.0195456511629781,10,24m
Construction,2008,0.45423923371281116,1.868973796351081,10,24m
Construction,2009,1.6659130683324108,0.5790618223723795,10,24m
Construction,2010,1.5050057255770288,1.0634101062279488,10,24m
Construction,2011,1.5259458630854197,0.667425772267277,10,24m
Construction,2012,1.9449211156324675,1.4585335925810572,10,24m
Construction,2013,1.544397659497429,1.221329437357383,10,24m
Construction,2014,2.0842000890474006,0.863129631693153,10,24m
Construction,2015,1.0795223677434078,0.8495941209282694,10,24m
Construction,2016,1.581333771232902,0.8877033788678484,9,24m
Construction,2017,1.916526474656847,0.61071256759409,10,24m
Construction,2018,1.1626508879581032,0.45113929312616935,10,24m
Construction,2019,1.259390370555634,0.5061292250319667,9,24m
Construction,2020,1.6888038848088471,0.7534527623204139,9,24m
Construction,2021,2.6737364271790556,3.490716462614359,10,24m
Construction,2022,1.09872139317029,0.31741307254975254,10,24m
Construction,2023,1.3564329279831768,0.682126210992605,10,24m
"Finance, Insurance & Real Estate",1996,0.6741569716815845,1.137135505822177,8,24m
"Finance, Insurance & Real Estate",1997,0.3928812719703637,0.41678027610816054,8,24m
"Finance, Insurance & Real Estate",1998,0.4119593367560667,0.4369675823533291,9,24m
"Finance, Insurance & Real Estate",1999,0.7809249624506459,0.5723694674332883,9,24m
"Finance, Insurance & Real Estate",2000,-0.15111932405066875,0.3253271410098627,10,24m
"Finance, Insurance & Real Estate",2001,0.251866220719246,0.5985154852998608,10,24m
"Finance, Insurance & Real Estate",2002,0.767801879314008,0.7735097205950408,9,24m
"Finance, Insurance & Real Estate",2003,0.4301062953230659,0.30167888492306716,10,24m
"Finance, Insurance & Real Estate",2004,0.8511719287983388,1.328728092645604,9,24m
"Finance, Insurance & Real Estate",2005,0.9834118578845136,0.72655798696777,10,24m
"Finance, Insurance & Real Estate",2006,0.7047853551298762,0.5679802208072267,9,24m
"Finance, Insurance & Real Estate",2007,0.8200721799727754,1.0486334828235002,10,24m
"Finance, Insurance & Real Estate",2008,0.462658038684957,0.6185596703243255,10,24m
"Finance, Insurance & Real Estate",2009,0.9261778300961728,0.45804844031481146,10,24m
"Finance, Insurance & Real Estate",2010,1.4117073534129996,1.772908521221679,10,24m
"Finance, Insurance & Real Estate",2011,1.352886054284524,0.7810241523558191,10,24m
"Finance, Insurance & Real Estate",2012,1.1852480159923109,0.7412058692849413,10,24m
"Finance, Insurance & Real Estate",2013,1.2234900920707255,0.6764870214039426,10,24m
"Finance, Insurance & Real Estate",2014,1.3729898453224876,0.608521311138893,10,24m
"Finance, Insurance & Real Estate",2015,0.5864838791606399,0.4931184692316507,10,24m
"Finance, Insurance & Real Estate",2016,1.057898284287748,0.6804060529764748,10,24m
"Finance, Insurance & Real Estate",2017,1.0731999709687225,0.5906278832749224,10,24m
"Finance, Insurance & Real Estate",2018,1.003469591257843,0.3384132412977504,10,24m
"Finance, Insurance & Real Estate",2019,1.261935244536519,0.5662642351089894,10,24m
"Finance, Insurance & Real Estate",2020,1.1802519801203104,0.6186614887647391,10,24m
"Finance, Insurance & Real Estate",2021,1.1310600298327802,0.6326828635592604,10,24m
"Finance, Insurance & Real Estate",2022,0.6361381904962273,0.48805609316338805,10,24m
"Finance, Insurance & Real Estate",2023,0.9110619038526873,0.8287836098829907,10,24m
Manufacturing,1996,1.289483994890591,0.9913246883245419,9,24m
Manufacturing,1997,1.518245205644556,1.1114128955232796,8,24m
Manufacturing,1998,1.2653092697956092,1.0803002258028744,9,24m
Manufacturing,1999,1.3089642009398217,0.7463753697189773,10,24m
Manufacturing,2000,0.4793361380054292,1.1602958953254168,7,24m
Manufacturing,2001,1.30251476463548,1.144797037781595,8,24m
Manufacturing,2002,1.7207646859838306,1.4886430859896689,9,24m
Manufacturing,2003,2.0621520753412246,2.662323424390851,10,24m
Manufacturing,2004,1.1782063162439307,1.0619303108844065,8,24m
Manufacturing,2005,1.62705681685472,0.8754133669581377,8,24m
Manufacturing,2006,1.4804354774399322,1.2001401362637985,9,24m
Manufacturing,2007,1.3436476391687244,1.6075288185104255,9,24m
Manufacturing,2008,1.360357487040281,0.6818922852695961,10,24m
Manufacturing,2009,1.392655266083994,1.1631973552780837,10,24m
Manufacturing,2010,1.923118052345989,0.945321530845538,10,24m
Manufacturing,2011,1.5901218223957274,0.6845481168280184,9,24m
Manufacturing,2012,1.4377353388610343,1.2248325907397295,10,24m
Manufacturing,2013,0.9893045768211574,1.2658473431148145,7,24m
Manufacturing,2014,1.3796406605400255,0.8162768939780773,9,24m
Manufacturing,2015,1.179781822455637,0.5307733065690697,10,24m
Manufacturing,2016,1.2360102876643664,0.7426417090342975,10,24m
Manufacturing,2017,1.8159796501901049,1.1518072255323373,10,24m
Manufacturing,2018,1.4958514624713066,1.1055008359348835,10,24m
Manufacturing,2019,1.3196548443593383,0.4070316959665831,10,24m
Manufacturing,2020,1.9721459582111938,1.4683816180193594,10,24m
Manufacturing,2021,0.08778125339854723,3.1451140683062304,10,24m
Manufacturing,2022,0.9352543552574689,0.9736347833611793,10,24m
Manufacturing,2023,1.2029918584853796,0.5180301900194159,10,24m
Mining,1996,0.26062997070104726,1.3806403744794336,9,24m
Mining,1997,0.8748462458641117,0.6813175609168629,8,24m
Mining,1998,0.7922158320231797,0.9517278504650128,9,24m
