Date,Signal,Position,AccountValue
2011-03-21,0,0,10043.142857551575
2011-03-22,0,0,10043.142857551575
2011-03-23,0,0,10043.142857551575
2011-03-24,0,0,10043.142857551575
2011-03-25,0,0,10043.142857551575
2011-03-28,0,0,10043.142857551575
2011-03-29,0,0,10043.142857551575
2011-03-30,0,0,10043.142857551575
2011-03-31,0,0,10043.142857551575
2011-04-01,0,0,10043.142857551575
2011-04-04,0,0,10043.142857551575
2011-04-05,0,0,10043.142857551575
2011-04-06,0,0,10043.142857551575
2011-04-07,0,0,10043.142857551575
2011-04-08,0,0,10043.142857551575
2011-04-11,0,0,10043.142857551575
2011-04-12,0,0,10043.142857551575
2011-04-13,0,0,10043.142857551575
2011-04-14,0,0,10043.142857551575
2011-04-15,0,0,10043.142857551575
2011-04-18,0,0,10043.142857551575
2011-04-19,0,0,10043.142857551575
2011-04-20,1,10,10043.142857551575
2011-04-21,1,20,10046.103568077087
2011-04-25,0,20,10047.75357723236
2011-04-26,0,20,10045.903582572937
2011-04-27,-1,0,10045.710711479187
2011-04-28,0,0,10045.710711479187
2011-04-29,0,0,10045.710711479187
2011-05-02,0,0,10045.710711479187
2011-05-03,0,0,10045.710711479187
2011-05-04,0,0,10045.710711479187
2011-05-05,0,0,10045.710711479187
2011-05-06,0,0,10045.710711479187
2011-05-09,0,0,10045.710711479187
2011-05-10,0,0,10045.710711479187
2011-05-11,0,0,10045.710711479187
2011-05-12,0,0,10045.710711479187
2011-05-13,0,0,10045.710711479187
2011-05-16,0,0,10045.710711479187
2011-05-17,0,0,10045.710711479187
2011-05-18,0,0,10045.710711479187
2011-05-19,1,10,10045.710711479187
2011-05-20,0,10,10043.814282417297
2011-05-23,-1,0,10043.521418571472
2011-05-24,0,0,10043.521418571472
2011-05-25,0,0,10043.521418571472
2011-05-26,0,0,10043.521418571472
2011-05-27,0,0,10043.521418571472
2011-05-31,0,0,10043.521418571472
2011-06-01,0,0,10043.521418571472
2011-06-02,0,0,10043.521418571472
2011-06-03,0,0,10043.521418571472
2011-06-06,0,0,10043.521418571472
2011-06-07,0,0,10043.521418571472
2011-06-08,0,0,10043.521418571472
2011-06-09,0,0,10043.521418571472
2011-06-10,0,0,10043.521418571472
2011-06-13,0,0,10043.521418571472
2011-06-14,0,0,10043.521418571472
2011-06-15,0,0,10043.521418571472
2011-06-16,0,0,10043.521418571472
2011-06-17,0,0,10043.521418571472
2011-06-20,0,0,10043.521418571472
2011-06-21,0,0,10043.521418571472
2011-06-22,0,0,10043.521418571472
2011-06-23,0,0,10043.521418571472
2011-06-24,0,0,10043.521418571472
2011-06-27,0,0,10043.521418571472
2011-06-28,0,0,10043.521418571472
2011-06-29,0,0,10043.521418571472
2011-06-30,0,0,10043.521418571472
2011-07-01,0,0,10043.521418571472
2011-07-05,1,10,10043.521418571472
2011-07-06,1,20,10044.353556632996
2011-07-07,0,20,10048.239283561707
2011-07-08,0,20,10050.032134056091
2011-07-11,0,20,10045.953555107117
2011-07-12,-1,0,10045.7750082016
2011-07-13,0,0,10045.7750082016
2011-07-14,0,0,10045.7750082016
2011-07-15,0,0,10045.7750082016
2011-07-18,0,0,10045.7750082016
2011-07-19,1,10,10045.7750082016
2011-07-20,1,20,10049.364285469055
2011-07-21,0,20,10049.642872810364
2011-07-22,0,20,10053.935723304749
2011-07-25,0,20,10057.650017738342
2011-07-26,0,20,10061.157155036926
2011-07-27,0,20,10053.42857837677
2011-07-28,-1,0,10052.878575325012
2011-07-29,0,0,10052.878575325012
2011-08-01,0,0,10052.878575325012
2011-08-02,0,0,10052.878575325012
2011-08-03,0,0,10052.878575325012
2011-08-04,0,0,10052.878575325012
2011-08-05,0,0,10052.878575325012
2011-08-08,0,0,10052.878575325012
2011-08-09,0,0,10052.878575325012
2011-08-10,0,0,10052.878575325012
