Date,Open,High,Low,Close,Adj Close,Change,Pct Change,Volume,Day VWAP,IV30,IV30 Change,IV30 Pct Change,Call Option Volume,Put Option Volume,Call Open Interest,Put Open Interest
2/11/2019,55.1875,55.6715,55,55.106,55.106,-0.013,-0.0002,924881,55.2199,22.004,-1.384,-0.0592,7603,4913,82245,86098
2/8/2019,54.744,55.2547,54.712,55.119,55.119,-0.1765,-0.0032,1088327,54.9982,23.388,0.289,0.0125,14602,13037,106593,102335
2/7/2019,55.5805,55.5995,54.6795,55.2955,55.2955,-0.849,-0.0151,1914877,55.0953,23.099,0.996,0.0451,26875,16334,103369,99541
2/6/2019,57.4,57.7,55.918,56.1445,56.1445,-1.449,-0.0252,2412820,56.567,22.103,1.987,0.0988,35064,16594,97622,96004
2/5/2019,56.5,57.6385,56.18,57.5935,57.5935,0.5225,0.0092,4114790,56.8389,20.116,-7.039,-0.2592,51168,36288,92344,95438
2/4/2019,56.005,57.117,55.8755,57.071,57.071,1.14,0.0204,3920591,56.731,27.155,-3.224,-0.1061,47664,37909,72258,75154
2/1/2019,56.0905,56.72,55.7125,55.931,55.931,-0.3635,-0.0065,1655813,56.1619,30.379,-0.465,-0.0151,26243,11538,79378,80873
1/31/2019,55.612,56.3835,55.2625,56.2945,56.2945,1.395,0.0254,2011572,56.0118,30.844,0.571,0.0189,26153,9937,74535,78171
1/30/2019,53.9285,54.976,53.832,54.8995,54.8995,1.3965,0.0261,1472647,54.411,30.273,-1.305,-0.0413,13342,6355,72016,76480
1/29/2019,54.062,54.2365,53.301,53.503,53.503,-0.49,-0.0091,985248,53.6483,31.578,0.576,0.0186,5832,3990,70882,74943
1/28/2019,54.5,54.6683,53.7305,53.993,53.993,-1.0825,-0.0197,1466714,54.0793,31.002,1.338,0.0451,6948,6504,68603,71730
1/25/2019,54.7115,55.168,54.5901,55.0755,55.0755,0.8755,0.0162,1163788,54.9102,29.664,-1.356,-0.0437,15874,8587,75446,77030
1/24/2019,54.1255,54.4,53.501,54.2,54.2,-0.0205,-0.0004,1455948,53.9414,31.02,-0.463,-0.0147,11725,6900,72198,74777
1/23/2019,54.343,54.6475,53.3785,54.2205,54.2205,0.289,0.0054,1259738,54.0303,31.483,0.207,0.0066,11498,7894,69616,71846
1/22/2019,54.8,54.9485,53.5445,53.9315,53.9315,-1.4335,-0.0259,1981594,54.2084,31.276,2.065,0.0707,15201,8775,65594,68065
1/18/2019,55.4385,55.9,54.9641,55.365,55.365,0.409,0.0074,2244569,55.4186,29.211,-1.116,-0.0368,30880,12320,122528,112017
1/17/2019,54.4085,55.035,54.1628,54.956,54.956,0.4805,0.0088,1244801,54.6221,30.327,0.287,0.0096,14015,8054,122047,109680
1/16/2019,54.5,55.118,54.4005,54.4755,54.4755,0.15,0.0028,1914041,54.7037,30.04,-0.089,-0.003,20353,9457,117947,107989
1/15/2019,52.8575,54.4135,52.722,54.3255,54.3255,1.75,0.0333,1875852,53.8842,30.129,-0.967,-0.0311,19767,10075,115122,106936
1/14/2019,52.667,52.9225,52.4275,52.5755,52.5755,-0.648,-0.0122,1424486,52.6729,31.096,-0.821,-0.0257,8524,5714,113240,105222
1/11/2019,53.544,53.6685,52.8215,53.2235,53.2235,-0.718,-0.0133,1543238,53.1562,31.917,-0.416,-0.0129,19010,8495,122434,112426
1/10/2019,53.7685,53.9905,53.234,53.9415,53.9415,-0.141,-0.0026,1329861,53.6852,32.333,0.818,0.026,16588,6581,118558,111575
1/9/2019,54.3995,54.582,53.7185,54.0825,54.0825,-0.186,-0.0034,1349912,54.2008,31.515,0.602,0.0195,19582,10680,110389,110184
1/8/2019,54.297,54.6675,53.4174,54.2685,54.2685,0.4725,0.0088,1770654,54.0713,30.913,-0.206,-0.0066,21382,7487,105639,108455
1/7/2019,54.0485,54.135,53.132,53.796,53.796,-0.1075,-0.002,2372667,53.6943,31.119,1.68,0.0571,16916,10218,101408,105172
1/4/2019,52.128,54,51.843,53.9035,53.9035,2.63,0.0513,2301428,53.3343,29.439,-9.225,-0.2386,22954,20144,108049,108299
1/3/2019,52.51,53.313,51.1185,51.2735,51.2735,-1.4605,-0.0277,2097957,51.7794,38.664,1.769,0.0479,15729,10202,102650,106238
1/2/2019,51.36,53.0395,51.2638,52.734,52.734,0.486,0.0093,1593395,52.2754,36.895,0.589,0.0162,9289,12172,100359,103799
12/31/2018,52.9745,53.1495,51.6519,52.248,52.248,-0.086,-0.0016,1655504,52.1604,36.306,-0.069,-0.0019,8644,6765,97867,100970
12/28/2018,52.9745,53.2115,52.1,52.334,52.334,-0.311,-0.0059,1718352,52.6032,36.375,-1.055,-0.0282,17015,11135,105951,107168
12/27/2018,51.308,52.667,50.35,52.645,52.645,0.2525,0.0048,2299806,51.4339,37.43,0.609,0.0165,14169,10331,102337,104291
12/26/2018,49.935,52.4225,49.6323,52.3925,52.3925,3.159,0.0642,2315862,50.8535,36.821,-5.197,-0.1237,14914,14258,99125,102701
12/24/2018,49.216,50.606,48.883,49.2335,49.2335,-0.329,-0.0066,1817955,49.6508,42.018,2.7,0.0687,7756,8853,98239,100970
12/21/2018,51.469,51.8835,49.0595,49.5625,49.5625,-1.6165,-0.0316,5232490,50.3092,39.318,2.594,0.0706,24355,23889,127189,123182
12/20/2018,51.333,52.372,50.3932,51.179,51.179,-0.594,-0.0115,2683670,51.2532,36.724,2.7,0.0794,16647,14638,123060,121381
12/19/2018,52.302,53.7855,50.9715,51.773,51.773,-0.3975,-0.0076,2913237,52.6958,34.024,1.127,0.0343,12932,12239,120255,120253
12/18/2018,51.655,52.9845,51.524,52.1705,52.1705,0.888,0.0173,2182019,52.3211,32.897,0.054,0.0016,11454,10364,118284,118968
12/17/2018,52.4605,53.119,50.8315,51.2825,51.2825,-1.303,-0.0248,2496551,51.8652,32.843,2.548,0.0841,10865,11879,115345,118019
12/14/2018,53.0505,53.586,52.4685,52.5855,52.5855,-1.0915,-0.0203,1817949,52.8631,30.295,2.084,0.0739,14597,13681,122592,123494
12/13/2018,53.7765,54.421,53.2497,53.677,53.677,-0.0095,-0.0002,1249403,53.7707,28.211,-0.372,-0.013,8466,8412,120762,121911
12/12/2018,53.825,54.5867,53.5985,53.6865,53.6865,0.604,0.0114,1447973,54.1026,28.583,-1.274,-0.0427,10176,11021,118864,120336
12/11/2018,53.4355,53.52,52.505,53.0825,53.0825,0.4235,0.008,1692576,53.0671,29.857,-1.181,-0.0381,10141,8998,115718,119414
12/10/2018,52.1465,52.98,51.65,52.659,52.659,0.33,0.0063,1682646,52.4523,31.038,-1.248,-0.0387,7439,9077,113862,117304
12/7/2018,53.7245,54.2515,51.9685,52.329,52.329,-1.575,-0.0292,2134111,52.83,32.286,2.263,0.0754,13795,11303,120821,122111
12/6/2018,52.2305,53.971,52.124,53.904,53.904,0.7805,0.0147,2371825,53.0297,30.023,-0.087,-0.0029,13371,9617,117372,119369
12/4/2018,55.7715,55.712,53.0388,53.1235,53.1235,-2.6945,-0.0483,2281485,54.3088,30.11,5.642,0.2306,15907,11032,113893,116957
12/3/2018,56.6005,56.75,55.5865,55.818,55.818,0.3355,0.006,2876449,56.1618,24.468,-2.808,-0.1029,15022,11885,111303,114494
11/30/2018,54.7815,55.4825,54.159,55.4825,55.4825,0.7535,0.0138,2965951,54.716,27.276,0.001,0,18675,11357,117057,122491
11/29/2018,54.1765,55.0075,54.1,54.729,54.729,0.1395,0.0026,1550523,54.6029,27.275,0.162,0.006,14033,10149,115106,120567
11/28/2018,52.873,54.6429,52.1475,54.5895,54.5895,1.9755,0.0375,2302121,53.5287,27.113,-0.593,-0.0214,18222,16515,111846,115887
11/27/2018,52.567,53.338,52.275,52.614,52.614,-0.183,-0.0035,1652433,52.8023,27.706,-0.016,-0.0006,9429,8852,108813,113501
11/26/2018,52.2,52.85,51.9885,52.797,52.797,1.292,0.0251,1577941,52.4789,27.722,-3.845,-0.1218,8960,8622,105812,110787
11/23/2018,51.675,52.15,51.426,51.505,51.505,-0.6665,-0.0128,708859,51.7602,31.567,0.716,0.0232,5518,6592,114202,116651
11/21/2018,52.2655,52.7352,51.9727,52.1715,52.1715,0.649,0.0126,1485172,52.4081,30.851,-2.932,-0.0868,10063,10937,113016,114540
11/20/2018,50.3645,51.8675,50.1105,51.5225,51.5225,0.1515,0.0029,2722934,51.1328,33.783,0.644,0.0194,12699,14805,109163,112699
11/19/2018,53.1695,53.4,51.1435,51.371,51.371,-2.0425,-0.0382,2284191,51.9422,33.139,4.026,0.1383,11941,13682,106003,108116
11/16/2018,53.2615,53.622,52.745,53.4135,53.4135,-0.139,-0.0026,1768308,53.2716,29.113,-1.503,-0.0491,12519,10407,142484,130958
11/15/2018,52.573,53.9435,52.0646,53.5525,53.5525,0.8235,0.0156,2079154,52.9953,30.616,-0.745,-0.0238,15089,11064,139209,130087
11/14/2018,53,53.2895,52.0555,52.729,52.729,0.3305,0.0063,1733302,52.6936,31.361,1.286,0.0428,11051,10404,136878,128166
