DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
03/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.549114947108%,,,,,
04/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.93189835882%,,,,,
05/31/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.736717648323%,,,,,
06/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.319990106821%,,,,,
07/31/1947,,,,,,,,,,,,,,,,,,,,,,,,2.49628514223%,,,,,
08/31/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.353818814501%,,,,,
09/30/1947,,,,,,,,,,,,,,,,,,,,,,,,1.27640700774%,,,,,
10/31/1947,,,,,,,,,,,,,,,,,,,,,,,,0.176976099612%,,,,,
11/30/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.537198829379%,,,,,
12/31/1947,,,,,,,,,,,,,,,,,,,,,,,,2.18615479098%,,,,,
01/31/1948,,,,,,,,,,,,,,,,,,,,,,,,3.44515669857%,,,,,
02/29/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.620546461773%,,,,,
03/31/1948,,,,,,,,,,,,,,,,,,,,,,,,4.31331847328%,,,,,
04/30/1948,,,,,,,,,,,,,,,,,,,,,,,,1.96204176619%,,,,,
05/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.510901026237%,,,,,
06/30/1948,,,,,,,,,,,,,,,,,,,,,,,,0.469824325898%,,,,,
07/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.545098100284%,,,,,
08/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-0.123356759919%,,,,,
09/30/1948,,,,,,,,,,,,,,,,,,,,,,,,-1.05007371125%,,,,,
10/31/1948,,,,,,,,,,,,,,,,,,,,,,,,0.0388982865255%,,,,,
11/30/1948,,,,,,,,,,,,,,,,,,,,,,,,-4.66482235414%,,,,,
12/31/1948,,,,,,,,,,,,,,,,,,,,,,,,-2.63435929096%,,,,,
01/31/1949,,,,,,,,,,,,,,,,,,,,,,,,2.76994879371%,,,,,
02/28/1949,,,,,,,,,,,,,,,,,,,,,,,,-1.57261833405%,,,,,
03/31/1949,,,,,,,,,,,,,,,,,,,,,,,,1.44692210453%,,,,,
04/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.922140931844%,,,,,
05/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-2.85421423619%,,,,,
06/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-1.11106535722%,,,,,
07/31/1949,,,,,,,,,,,,,,,,,,,,,,,,0.65012022282%,,,,,
08/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-1.22231173929%,,,,,
09/30/1949,,,,,,,,,,,,,,,,,,,,,,,,1.17507296835%,,,,,
10/31/1949,,,,,,,,,,,,,,,,,,,,,,,,-0.0277328108814%,,,,,
11/30/1949,,,,,,,,,,,,,,,,,,,,,,,,-1.97047871961%,,,,,
12/31/1949,,,,,,,,,,,,,,,,,,,,,,,,1.8661878078%,,,,,
01/31/1950,,,,,,,,,,,,,,,,,,,,,,,,2.3458119475%,,,,,
02/28/1950,,,,,,,,,,,,,,,,,,,,,,,,-0.909620161232%,,,,,
03/31/1950,,,,,,,,,,,,,,,,,,,,,,,,-1.8590466039%,,,,,
04/30/1950,,,,,,,,,,,,,,,,,,,,,,,,2.98948977577%,,,,,
